,cut_path,文字_x,文字_y,图标_x,图标_y,图标类型,图标代码,中心图行,中心图列,文字,轮廓,文字_x转换后,文字_y转换后,文字行转换后,文字列转换后,图标_x转换后,图标_y转换后,图标行转换后,图标列转换后
0,data/cut/R000183B1_C00034AD0_6.png,302.0,349.0,,,,,R000183B1,C00034AD0,畅春园路,,47.0,94.0,R000183B1,C00034AD0,,,,
1,data/cut/R000183B1_C00034AD0_9.png,421.5,400.5,,,,,R000183B1,C00034AD0,瑞德棋苑,"[('C00034AD0_129', 'R000183B1_108'), ('C00034AD0_130', 'R000183B1_147'), ('C00034AD0_140', 'R000183B1_142'), ('C00034AD0_158', 'R000183B1_142'), ('C00034AD0_161', 'R000183B1_133'), ('C00034AD0_173', 'R000183B1_133'), ('C00034AD0_176', 'R000183B1_142'), ('C00034AD0_193', 'R000183B1_142'), ('C00034AD0_199', 'R000183B1_146'), ('C00034AD0_198', 'R000183B1_125'), ('C00034AD0_179', 'R000183B1_124'), ('C00034AD0_176', 'R000183B1_117'), ('C00034AD0_145', 'R000183B1_118'), ('C00034AD0_142', 'R000183B1_107')]",166.5,145.5,R000183B1,C00034AD0,,,,
2,data/cut/R000183B1_C00034AD0_11.png,424.0,345.5,424.0,338.0,通行设施,990000,R000183B1,C00034AD0,南2门,,169.0,90.5,R000183B1,C00034AD0,169.0,83.0,R000183B1,C00034AD0
3,data/cut/R000183C5_C00034ADC_8.png,430.5,310.0,431.0,300.0,楼宇,120200,R000183C5,C00034ADC,巨人艺术楼,,175.5,55.0,R000183C5,C00034ADC,176.0,45.0,R000183C5,C00034ADC
4,data/cut/R000183C5_C00034ADC_11.png,453.5,437.5,454.0,428.0,楼宇,120200,R000183C5,C00034ADC,文化大厦,,198.5,182.5,R000183C5,C00034ADC,199.0,173.0,R000183C5,C00034ADC
5,data/cut/R000183C5_C00034ADC_16.png,280.5,422.5,280.0,412.0,学校内部设施,141207,R000183C5,C00034ADC,红3楼,"[('C00034ADC_73', 'R000183C5_133'), ('C00034ADB_170', 'R000183C5_144'), ('C00034ADB_170', 'R000183C5_187'), ('C00034ADC_2', 'R000183C5_183'), ('C00034ADC_21', 'R000183C5_173'), ('C00034ADC_74', 'R000183C5_176')]",25.5,167.5,R000183C5,C00034ADC,25.0,157.0,R000183C5,C00034ADC
6,data/cut/R000183C5_C00034ADC_35.png,506.5,323.5,507.0,324.0,停车场,150900,R000183C5,C00034ADC,P,,251.5,68.5,R000183C5,C00034ADC,252.0,69.0,R000183C5,C00034ADC
7,data/cut/R000183C5_C00034ADC_37.png,381.5,456.0,382.0,457.0,停车场,150900,R000183C5,C00034ADC,P,,126.5,201.0,R000183C5,C00034ADC,127.0,202.0,R000183C5,C00034ADC
8,,,,334.0,348.0,停车场,150900,R000183C5,C00034ADC,,,,,,,79.0,93.0,R000183C5,C00034ADC
9,data/cut/R000183B1_C00034AE4_0.png,417.5,417.5,419.0,399.0,公检法机构,130500,R000183B1,C00034AE4,★科技园区警务工作室,,162.5,162.5,R000183B1,C00034AE4,164.0,144.0,R000183B1,C00034AE4
10,data/cut/R000183B1_C00034AE4_1.png,291.0,497.5,,,,,R000183B1,C00034AE4,北京小背篓搬家有限公司,"[('C00034AE3_199', 'R000183B1_170'), ('C00034AE3_201', 'R000183B1_219'), ('C00034AE3_219', 'R000183B1_220'), ('C00034AE3_222', 'R000183B1_237'), ('C00034AE4_57', 'R000183B1_249'), ('C00034AE4_71', 'R000183B1_233'), ('C00034AE4_91', 'R000183B1_232'), ('C00034AE4_93', 'R000183B1_221'), ('C00034AE4_121', 'R000183B1_222'), ('C00034AE4_113', 'R000183B1_187'), ('C00034AE4_94', 'R000183B1_188'), ('C00034AE4_91', 'R000183B1_209'), ('C00034AE3_228', 'R000183B1_212'), ('C00034AE3_219', 'R000183B1_186'), ('C00034AE3_233', 'R000183B1_183'), ('C00034AE3_233', 'R000183B1_169')]",36.0,242.5,R000183B1,C00034AE4,,,,
11,data/cut/R000183B1_C00034AE4_5.png,401.0,474.0,,,,,R000183B1,C00034AE4,科馨社区服务站,,146.0,219.0,R000183B1,C00034AE4,,,,
12,data/cut/R000183B1_C00034AE4_8.png,502.5,454.0,503.0,444.0,楼宇,120200,R000183B1,C00034AE4,蓝润大厦,"[('C00034AE5_31', 'R000183B1_170'), ('C00034AE4_186', 'R000183B1_175'), ('C00034AE4_192', 'R000183B1_250'), ('C00034AE5_32', 'R000183B1_249')]",247.5,199.0,R000183B1,C00034AE4,248.0,189.0,R000183B1,C00034AE4
13,data/cut/R000183B1_C00034AE4_10.png,336.0,374.5,,,,,R000183B1,C00034AE4,超市发,"[('C00034AE4_133', 'R000183B1_152'), ('C00034AE4_127', 'R000183B1_114'), ('C00034AE4_117', 'R000183B1_114'), ('C00034AE4_115', 'R000183B1_123'), ('C00034AE3_191', 'R000183B1_126'), ('C00034AE3_199', 'R000183B1_147'), ('C00034AE4_82', 'R000183B1_141'), ('C00034AE4_86', 'R000183B1_154')]",81.0,119.5,R000183B1,C00034AE4,,,,
14,data/cut/R000183B1_C00034AE4_15.png,280.5,313.5,,,,,R000183B1,C00034AE4,成府路,,25.5,58.5,R000183B1,C00034AE4,,,,
15,data/cut/R000183B1_C00034AE4_43.png,492.5,399.0,493.0,400.0,停车场,150900,R000183B1,C00034AE4,P,,237.5,144.0,R000183B1,C00034AE4,238.0,145.0,R000183B1,C00034AE4
16,,,,361.0,377.0,便民商店,060200,R000183B1,C00034AE4,,,,,,,106.0,122.0,R000183B1,C00034AE4
17,data/cut/R000183C5_C00034AD5_5.png,270.5,433.5,269.0,424.0,科研机构,141300,R000183C5,C00034AD5,人权研究中心,"[('C00034AD5_120', 'R000183C4_72'), ('C00034AD4_182', 'R000183C4_105'), ('C00034AD4_194', 'R000183C4_199'), ('C00034AD5_47', 'R000183C4_188'), ('C00034AD5_98', 'R000183C4_122'), ('C00034AD5_89', 'R000183C5_0'), ('C00034AD4_106', 'R000183C5_14'), ('C00034AD4_97', 'R000183C4_155'), ('C00034AD4_149', 'R000183C4_119'), ('C00034AD4_58', 'R000183C4_124'), ('C00034AD4_86', 'R000183C5_222'), ('C00034AD4_166', 'R000183C5_190'), ('C00034AD4_118', 'R000183C5_172'), ('C00034AD4_110', 'R000183C5_53'), ('C00034AD5_110', 'R000183C5_29'), ('C00034AD5_102', 'R000183C5_195'), ('C00034AD5_164', 'R000183C5_179')]",15.5,178.5,R000183C5,C00034AD5,14.0,169.0,R000183C5,C00034AD5
18,data/cut/R000183C5_C00034AD5_9.png,389.5,345.0,390.0,335.0,学校内部设施,141207,R000183C5,C00034AD5,明德法学楼,"[('C00034AD5_120', 'R000183C4_72'), ('C00034AD4_182', 'R000183C4_105'), ('C00034AD4_194', 'R000183C4_199'), ('C00034AD5_47', 'R000183C4_188'), ('C00034AD5_98', 'R000183C4_122'), ('C00034AD5_89', 'R000183C5_0'), ('C00034AD4_106', 'R000183C5_14'), ('C00034AD4_97', 'R000183C4_155'), ('C00034AD4_149', 'R000183C4_119'), ('C00034AD4_58', 'R000183C4_124'), ('C00034AD4_86', 'R000183C5_222'), ('C00034AD4_166', 'R000183C5_190'), ('C00034AD4_118', 'R000183C5_172'), ('C00034AD4_110', 'R000183C5_53'), ('C00034AD5_110', 'R000183C5_29'), ('C00034AD5_102', 'R000183C5_195'), ('C00034AD5_164', 'R000183C5_179')]",134.5,90.0,R000183C5,C00034AD5,135.0,80.0,R000183C5,C00034AD5
19,data/cut/R000183C5_C00034AD5_27.png,459.0,430.0,,,,,R000183C5,C00034AD5,谨勤路,,204.0,175.0,R000183C5,C00034AD5,,,,
20,data/cut/R000183C5_C00034AD5_29.png,314.0,509.5,,,,,R000183C5,C00034AD5,汇贤路,,59.0,254.5,R000183C5,C00034AD5,,,,
21,data/cut/R000183C5_C00034AD5_39.png,384.0,413.5,,,,,R000183C5,C00034AD5,5号楼,"[('C00034AD5_120', 'R000183C4_72'), ('C00034AD4_182', 'R000183C4_105'), ('C00034AD4_194', 'R000183C4_199'), ('C00034AD5_47', 'R000183C4_188'), ('C00034AD5_98', 'R000183C4_122'), ('C00034AD5_89', 'R000183C5_0'), ('C00034AD4_106', 'R000183C5_14'), ('C00034AD4_97', 'R000183C4_155'), ('C00034AD4_149', 'R000183C4_119'), ('C00034AD4_58', 'R000183C4_124'), ('C00034AD4_86', 'R000183C5_222'), ('C00034AD4_166', 'R000183C5_190'), ('C00034AD4_118', 'R000183C5_172'), ('C00034AD4_110', 'R000183C5_53'), ('C00034AD5_110', 'R000183C5_29'), ('C00034AD5_102', 'R000183C5_195'), ('C00034AD5_164', 'R000183C5_179')]",129.0,158.5,R000183C5,C00034AD5,,,,
22,data/cut/R000183C5_C00034AD5_42.png,420.0,299.5,,,,,R000183C5,C00034AD5,2号楼,,165.0,44.5,R000183C5,C00034AD5,,,,
23,data/cut/R000183B1_C00034ADF_5.png,483.5,286.0,484.0,277.0,交通银行,160108,R000183B1,C00034ADF,交通银行,"[('C00034ADF_200', 'R000183B1_1'), ('C00034ADF_204', 'R000183B1_36'), ('C00034ADF_212', 'R000183B1_43'), ('C00034ADF_217', 'R000183B1_43'), ('C00034ADF_219', 'R000183B1_48'), ('C00034ADF_248', 'R000183B1_44'), ('C00034ADF_248', 'R000183B1_40'), ('C00034ADF_233', 'R000183B1_33'), ('C00034ADF_233', 'R000183B1_20'), ('C00034ADF_236', 'R000183B1_16'), ('C00034ADF_234', 'R000183B1_1')]",228.5,31.0,R000183B1,C00034ADF,229.0,22.0,R000183B1,C00034ADF
24,data/cut/R000183B1_C00034ADF_7.png,419.5,460.5,420.0,451.0,楼宇,120200,R000183B1,C00034ADF,中科科仪,,164.5,205.5,R000183B1,C00034ADF,165.0,196.0,R000183B1,C00034ADF
25,data/cut/R000183B1_C00034ADF_8.png,326.5,455.5,325.0,446.0,专卖店,061200,R000183B1,C00034ADF,今日电器,,71.5,200.5,R000183B1,C00034ADF,70.0,191.0,R000183B1,C00034ADF
26,data/cut/R000183B1_C00034ADF_14.png,424.5,380.0,,,,,R000183B1,C00034ADF,成府路,,169.5,125.0,R000183B1,C00034ADF,,,,
27,data/cut/R000183B1_C00034ADF_16.png,415.5,314.5,416.0,307.0,通行设施,990000,R000183B1,C00034ADF,南4门,,160.5,59.5,R000183B1,C00034ADF,161.0,52.0,R000183B1,C00034ADF
28,data/cut/R000183B1_C00034ADF_30.png,479.5,500.5,480.0,501.0,停车场,150900,R000183B1,C00034ADF,P,,224.5,245.5,R000183B1,C00034ADF,225.0,246.0,R000183B1,C00034ADF
29,data/cut/R000183C5_C00034AE1_1.png,306.0,477.0,,,,,R000183C5,C00034AE1,北京市海淀区家政服务培训中心,,51.0,222.0,R000183C5,C00034AE1,,,,
30,data/cut/R000183C5_C00034AE1_2.png,479.0,497.0,,,,,R000183C5,C00034AE1,东里南社区2医疗卫生站,"[('C00034AE1_235', 'R000183C5_216'), ('C00034AE1_178', 'R000183C5_221'), ('C00034AE1_178', 'R000183C5_233'), ('C00034AE1_184', 'R000183C5_238'), ('C00034AE1_184', 'R000183C5_248'), ('C00034AE1_179', 'R000183C5_254'), ('C00034AE1_181', 'R000183C6_17'), ('C00034AE1_239', 'R000183C6_12'), ('C00034AE1_238', 'R000183C5_247'), ('C00034AE1_234', 'R000183C5_242')]",224.0,242.0,R000183C5,C00034AE1,,,,
31,data/cut/R000183C5_C00034AE1_10.png,442.0,379.0,,,,,R000183C5,C00034AE1,学院南路9号楼,,187.0,124.0,R000183C5,C00034AE1,,,,
32,data/cut/R000183C5_C00034AE1_16.png,460.0,265.5,,,,,R000183C5,C00034AE1,甲胶东海味仙,"[('C00034AE1_236', 'R000183C4_246'), ('C00034AE1_165', 'R000183C4_251'), ('C00034AE1_171', 'R000183C5_7'), ('C00034AE1_168', 'R000183C5_41'), ('C00034AE1_175', 'R000183C5_46'), ('C00034AE1_173', 'R000183C5_96'), ('C00034AE1_240', 'R000183C5_88')]",205.0,10.5,R000183C5,C00034AE1,,,,
33,data/cut/R000183C5_C00034AE1_19.png,286.0,376.5,,,,,R000183C5,C00034AE1,双榆树一街,,31.0,121.5,R000183C5,C00034AE1,,,,
34,data/cut/R000183C5_C00034AE1_33.png,378.0,322.5,378.0,315.0,通行设施,990000,R000183C5,C00034AE1,东3门,,123.0,67.5,R000183C5,C00034AE1,123.0,60.0,R000183C5,C00034AE1
35,data/cut/R000183C5_C00034AE1_35.png,386.5,472.0,386.0,464.0,通行设施,990000,R000183C5,C00034AE1,北门,,131.5,217.0,R000183C5,C00034AE1,131.0,209.0,R000183C5,C00034AE1
36,,,,426.0,267.0,餐饮服务,050000,R000183C5,C00034AE1,,,,,,,171.0,12.0,R000183C5,C00034AE1
37,,,,298.0,417.0,银行,160100,R000183C5,C00034AE1,,,,,,,43.0,162.0,R000183C5,C00034AE1
38,,,,443.0,497.0,医疗保健服务,090000,R000183C5,C00034AE1,,,,,,,188.0,242.0,R000183C5,C00034AE1
39,data/cut/R000183C6_C00034ADF_13.png,365.5,385.0,,,,,R000183C6,C00034ADF,甲雅玛花式铁板烧,"[('C00034ADF_17', 'R000183C6_190'), ('C00034ADF_120', 'R000183C6_202'), ('C00034ADF_122', 'R000183C6_185'), ('C00034ADF_158', 'R000183C6_183'), ('C00034ADF_159', 'R000183C6_195'), ('C00034ADF_186', 'R000183C6_187'), ('C00034ADF_223', 'R000183C6_117'), ('C00034ADF_130', 'R000183C6_102'), ('C00034ADF_111', 'R000183C6_109'), ('C00034ADF_106', 'R000183C6_131'), ('C00034ADF_81', 'R000183C6_130'), ('C00034ADF_13', 'R000183C6_90')]",110.5,130.0,R000183C6,C00034ADF,,,,
40,data/cut/R000183C6_C00034ADF_15.png,328.5,442.5,327.0,432.0,住宿服务,100000,R000183C6,C00034ADF,燕山大酒店A座,"[('C00034ADF_17', 'R000183C6_190'), ('C00034ADF_120', 'R000183C6_202'), ('C00034ADF_122', 'R000183C6_185'), ('C00034ADF_158', 'R000183C6_183'), ('C00034ADF_159', 'R000183C6_195'), ('C00034ADF_186', 'R000183C6_187'), ('C00034ADF_223', 'R000183C6_117'), ('C00034ADF_130', 'R000183C6_102'), ('C00034ADF_111', 'R000183C6_109'), ('C00034ADF_106', 'R000183C6_131'), ('C00034ADF_81', 'R000183C6_130'), ('C00034ADF_13', 'R000183C6_90')]",73.5,187.5,R000183C6,C00034ADF,72.0,177.0,R000183C6,C00034ADF
41,data/cut/R000183C6_C00034ADF_18.png,507.5,467.0,,,,,R000183C6,C00034ADF,双榆树二街,,252.5,212.0,R000183C6,C00034ADF,,,,
42,data/cut/R000183C6_C00034ADF_22.png,260.0,301.5,261.0,292.0,汽车服务,010000,R000183C6,C00034ADF,燕山洗车,,5.0,46.5,R000183C6,C00034ADF,6.0,37.0,R000183C6,C00034ADF
43,data/cut/R000183C6_C00034ADF_26.png,375.5,359.5,,,,,R000183C6,C00034ADF,燕山大酒店,"[('C00034ADF_17', 'R000183C6_190'), ('C00034ADF_120', 'R000183C6_202'), ('C00034ADF_122', 'R000183C6_185'), ('C00034ADF_158', 'R000183C6_183'), ('C00034ADF_159', 'R000183C6_195'), ('C00034ADF_186', 'R000183C6_187'), ('C00034ADF_223', 'R000183C6_117'), ('C00034ADF_130', 'R000183C6_102'), ('C00034ADF_111', 'R000183C6_109'), ('C00034ADF_106', 'R000183C6_131'), ('C00034ADF_81', 'R000183C6_130'), ('C00034ADF_13', 'R000183C6_90')]",120.5,104.5,R000183C6,C00034ADF,,,,
44,data/cut/R000183C6_C00034ADF_58.png,380.5,474.0,381.0,479.0,停车场,150900,R000183C6,C00034ADF,P,,125.5,219.0,R000183C6,C00034ADF,126.0,224.0,R000183C6,C00034ADF
45,data/cut/R000183C6_C00034ADF_64.png,362.5,315.5,363.0,316.0,停车场,150900,R000183C6,C00034ADF,P,,107.5,60.5,R000183C6,C00034ADF,108.0,61.0,R000183C6,C00034ADF
46,data/cut/R000183C6_C00034ADF_65.png,468.5,255.5,469.0,256.0,停车场,150900,R000183C6,C00034ADF,P,,213.5,0.5,R000183C6,C00034ADF,214.0,1.0,R000183C6,C00034ADF
47,data/cut/R000183C6_C00034ADF_68.png,263.5,366.5,264.0,367.0,停车场,150900,R000183C6,C00034ADF,P,,8.5,111.5,R000183C6,C00034ADF,9.0,112.0,R000183C6,C00034ADF
48,,,,323.0,499.0,餐饮服务_,050000,R000183C6,C00034ADF,,,,,,,68.0,244.0,R000183C6,C00034ADF
49,,,,318.0,387.0,餐饮服务,050000,R000183C6,C00034ADF,,,,,,,63.0,132.0,R000183C6,C00034ADF
50,,,,464.0,361.0,通行设施,990000,R000183C6,C00034ADF,,,,,,,209.0,106.0,R000183C6,C00034ADF
51,,,,500.0,345.0,通行设施,990000,R000183C6,C00034ADF,,,,,,,245.0,90.0,R000183C6,C00034ADF
52,,,,418.0,445.0,停车场,150900,R000183C6,C00034ADF,,,,,,,163.0,190.0,R000183C6,C00034ADF
53,data/cut/R000183B2_C00034AE1_3.png,424.0,431.5,425.0,414.0,科研机构,141300,R000183B2,C00034AE1,生化工程国家重点实验室,"[('C00034AE1_205', 'R000183B2_101'), ('C00034AE1_141', 'R000183B2_102'), ('C00034AE1_140', 'R000183B2_159'), ('C00034AE1_149', 'R000183B2_180'), ('C00034AE1_140', 'R000183B2_206'), ('C00034AE1_142', 'R000183B2_236'), ('C00034AE1_210', 'R000183B2_234'), ('C00034AE1_210', 'R000183B2_206'), ('C00034AE1_176', 'R000183B2_185'), ('C00034AE1_186', 'R000183B2_134'), ('C00034AE1_206', 'R000183B2_131')]",169.0,176.5,R000183B2,C00034AE1,170.0,159.0,R000183B2,C00034AE1
54,data/cut/R000183C8_C00034ACD_0.png,322.0,495.5,,,,,R000183C8,C00034ACD,国家税务总局海淀冬五加力/,"[('C00034ACD_105', 'R000183C8_186'), ('C00034ACD_86', 'R000183C8_181'), ('C00034ACD_77', 'R000183C8_185'), ('C00034ACD_74', 'R000183C8_194'), ('C00034ACD_44', 'R000183C8_201'), ('C00034ACD_38', 'R000183C8_231'), ('C00034ACD_28', 'R000183C8_233'), ('C00034ACD_28', 'R000183C8_239'), ('C00034ACD_92', 'R000183C8_241'), ('C00034ACD_94', 'R000183C8_225'), ('C00034ACD_112', 'R000183C8_218')]",67.0,240.5,R000183C8,C00034ACD,,,,
55,data/cut/R000183C8_C00034ACD_5.png,269.0,301.0,270.0,293.0,中国民生银行,160112,R000183C8,C00034ACD,中国民生银行,"[('C00034ACC_234', 'R000183C7_252'), ('C00034ACC_237', 'R000183C8_5'), ('C00034ACD_3', 'R000183C8_6'), ('C00034ACD_15', 'R000183C8_54'), ('C00034ACD_41', 'R000183C8_56'), ('C00034ACD_60', 'R000183C8_46'), ('C00034ACD_120', 'R000183C8_44'), ('C00034ACD_134', 'R000183C8_36'), ('C00034ACD_131', 'R000183C8_7'), ('C00034ACD_41', 'R000183C8_17'), ('C00034ACD_23', 'R000183C7_240'), ('C00034ACC_249', 'R000183C7_239')]",14.0,46.0,R000183C8,C00034ACD,15.0,38.0,R000183C8,C00034ACD
56,data/cut/R000183C8_C00034ACD_11.png,466.5,417.5,467.0,408.0,摄影冲印店,071300,R000183C8,C00034ACD,来悦图文,"[('C00034ACE_47', 'R000183C8_151'), ('C00034ACE_36', 'R000183C8_136'), ('C00034ACD_164', 'R000183C8_158'), ('C00034ACD_132', 'R000183C8_157'), ('C00034ACD_122', 'R000183C8_149'), ('C00034ACD_111', 'R000183C8_161'), ('C00034ACD_131', 'R000183C8_165'), ('C00034ACD_136', 'R000183C8_185'), ('C00034ACD_202', 'R000183C8_169'), ('C00034ACE_20', 'R000183C8_168')]",211.5,162.5,R000183C8,C00034ACD,212.0,153.0,R000183C8,C00034ACD
57,data/cut/R000183C8_C00034ACD_13.png,387.0,412.0,,,,,R000183C8,C00034ACD,欧博士学堂o,"[('C00034ACE_47', 'R000183C8_151'), ('C00034ACE_36', 'R000183C8_136'), ('C00034ACD_164', 'R000183C8_158'), ('C00034ACD_132', 'R000183C8_157'), ('C00034ACD_122', 'R000183C8_149'), ('C00034ACD_111', 'R000183C8_161'), ('C00034ACD_131', 'R000183C8_165'), ('C00034ACD_136', 'R000183C8_185'), ('C00034ACD_202', 'R000183C8_169'), ('C00034ACE_20', 'R000183C8_168')]",132.0,157.0,R000183C8,C00034ACD,,,,
58,data/cut/R000183C8_C00034ACD_15.png,273.5,364.0,,,,,R000183C8,C00034ACD,万泉庄路,,18.5,109.0,R000183C8,C00034ACD,,,,
59,data/cut/R000183C8_C00034ACD_18.png,363.5,292.5,362.0,283.0,楼宇,120200,R000183C8,C00034ACD,楼,"[('C00034ACC_234', 'R000183C7_252'), ('C00034ACC_237', 'R000183C8_5'), ('C00034ACD_3', 'R000183C8_6'), ('C00034ACD_15', 'R000183C8_54'), ('C00034ACD_41', 'R000183C8_56'), ('C00034ACD_60', 'R000183C8_46'), ('C00034ACD_120', 'R000183C8_44'), ('C00034ACD_134', 'R000183C8_36'), ('C00034ACD_131', 'R000183C8_7'), ('C00034ACD_41', 'R000183C8_17'), ('C00034ACD_23', 'R000183C7_240'), ('C00034ACC_249', 'R000183C7_239')]",108.5,37.5,R000183C8,C00034ACD,107.0,28.0,R000183C8,C00034ACD
60,data/cut/R000183C8_C00034ACD_22.png,413.5,280.5,,,,,R000183C8,C00034ACD,2号楼,,158.5,25.5,R000183C8,C00034ACD,,,,
61,data/cut/R000183C8_C00034ACD_27.png,440.5,318.5,441.0,319.0,停车场,150900,R000183C8,C00034ACD,P,,185.5,63.5,R000183C8,C00034ACD,186.0,64.0,R000183C8,C00034ACD
62,data/cut/R000183C8_C00034ACD_30.png,352.5,340.0,353.0,341.0,停车场,150900,R000183C8,C00034ACD,P,,97.5,85.0,R000183C8,C00034ACD,98.0,86.0,R000183C8,C00034ACD
63,data/cut/R000183B2_C00034ADC_8.png,395.0,392.5,,,,,R000183B2,C00034ADC,北京大学中关新园50丙,"[('C00034ADC_77', 'R000183B2_135'), ('C00034ADC_78', 'R000183B2_164'), ('C00034ADC_167', 'R000183B2_157'), ('C00034ADC_166', 'R000183B2_151'), ('C00034ADC_154', 'R000183B2_141'), ('C00034ADC_119', 'R000183B2_142'), ('C00034ADC_112', 'R000183B2_136')]",140.0,137.5,R000183B2,C00034ADC,,,,
64,data/cut/R000183B2_C00034ADC_10.png,307.5,393.0,,,,,R000183B2,C00034ADC,越秀造型M,,52.5,138.0,R000183B2,C00034ADC,,,,
65,data/cut/R000183B2_C00034ADC_21.png,396.5,477.5,,,,,R000183B2,C00034ADC,50乙号楼,"[('C00034ADC_171', 'R000183B2_222'), ('C00034ADC_83', 'R000183B2_224'), ('C00034ADC_80', 'R000183B2_246'), ('C00034ADC_83', 'R000183B2_251'), ('C00034ADC_170', 'R000183B2_246')]",141.5,222.5,R000183B2,C00034ADC,,,,
66,,,,339.0,396.0,美容美发店,071100,R000183B2,C00034ADC,,,,,,,84.0,141.0,R000183B2,C00034ADC
67,data/cut/R000183C6_C00034AD0_9.png,425.0,503.5,,,,,R000183C6,C00034AD0,北京英美科技培训学校,"[('C00034AD1_77', 'R000183C6_239'), ('C00034AD1_67', 'R000183C6_250'), ('C00034AD1_24', 'R000183C6_249'), ('C00034AD1_19', 'R000183C7_3'), ('C00034AD0_234', 'R000183C7_15'), ('C00034AD0_232', 'R000183C7_30'), ('C00034AD0_165', 'R000183C7_53'), ('C00034AD0_170', 'R000183C7_77'), ('C00034AD0_239', 'R000183C7_57'), ('C00034AD0_241', 'R000183C7_42'), ('C00034AD1_84', 'R000183C7_9')]",170.0,248.5,R000183C6,C00034AD0,,,,
68,data/cut/R000183C6_C00034AD0_11.png,261.0,448.5,262.0,439.0,专卖店,061200,R000183C6,C00034AD0,牛栏山白酒专营店,,6.0,193.5,R000183C6,C00034AD0,7.0,184.0,R000183C6,C00034AD0
69,data/cut/R000183C6_C00034AD0_25.png,403.0,337.0,,,,,R000183C6,C00034AD0,万泉小学,,148.0,82.0,R000183C6,C00034AD0,,,,
70,data/cut/R000183C6_C00034AD0_34.png,462.0,463.5,,,,,R000183C6,C00034AD0,19号楼,"[('C00034AD1_36', 'R000183C6_162'), ('C00034AD0_162', 'R000183C6_205'), ('C00034AD0_168', 'R000183C6_228'), ('C00034AD0_182', 'R000183C6_230'), ('C00034AD0_211', 'R000183C6_220'), ('C00034AD0_213', 'R000183C6_211'), ('C00034AD0_233', 'R000183C6_212'), ('C00034AD1_21', 'R000183C6_196'), ('C00034AD1_29', 'R000183C6_187'), ('C00034AD1_42', 'R000183C6_187')]",207.0,208.5,R000183C6,C00034AD0,,,,
71,data/cut/R000183C6_C00034AE4_25.png,466.5,478.5,467.0,479.0,停车场,150900,R000183C6,C00034AE4,P,"[('C00034AE5_2', 'R000183C6_198'), ('C00034AE4_236', 'R000183C6_198'), ('C00034AE4_234', 'R000183C6_227'), ('C00034AE4_104', 'R000183C6_231'), ('C00034AE4_104', 'R000183C6_255'), ('C00034AE4_237', 'R000183C7_0'), ('C00034AE4_235', 'R000183C7_13'), ('C00034AE4_111', 'R000183C7_18'), ('C00034AE4_114', 'R000183C7_83'), ('C00034AE5_5', 'R000183C7_94')]",211.5,223.5,R000183C6,C00034AE4,212.0,224.0,R000183C6,C00034AE4
72,data/cut/R000183B5_C00034AE5_12.png,397.0,307.5,397.0,297.0,图书馆,140500,R000183B5,C00034AE5,图书馆,"[('C00034AE5_33', 'R000183B4_111'), ('C00034AE5_33', 'R000183B4_218'), ('C00034AE5_52', 'R000183B4_231'), ('C00034AE5_33', 'R000183B5_15'), ('C00034AE5_50', 'R000183B5_52'), ('C00034AE5_115', 'R000183B5_67'), ('C00034AE5_152', 'R000183B5_13'), ('C00034AE5_110', 'R000183B4_248'), ('C00034AE5_113', 'R000183B5_31'), ('C00034AE5_71', 'R000183B5_31'), ('C00034AE5_60', 'R000183B4_233'), ('C00034AE5_70', 'R000183B4_216'), ('C00034AE5_93', 'R000183B4_230'), ('C00034AE5_107', 'R000183B4_217'), ('C00034AE5_83', 'R000183B4_145'), ('C00034AE5_149', 'R000183B4_142'), ('C00034AE5_150', 'R000183B4_112')]",142.0,52.5,R000183B5,C00034AE5,142.0,42.0,R000183B5,C00034AE5
73,data/cut/R000183B5_C00034AD1_13.png,504.0,286.5,,,,,R000183B5,C00034AD1,京英荟壁球馆,"[('C00034AD2_1', 'R000183B4_154'), ('C00034AD1_222', 'R000183B4_159'), ('C00034AD1_216', 'R000183B4_174'), ('C00034AD1_180', 'R000183B4_167'), ('C00034AD1_195', 'R000183B5_21'), ('C00034AD1_206', 'R000183B5_26'), ('C00034AD1_214', 'R000183B5_145'), ('C00034AD2_34', 'R000183B5_126')]",249.0,31.5,R000183B5,C00034AD1,,,,
74,data/cut/R000183B5_C00034AD1_23.png,380.5,275.5,,,,,R000183B5,C00034AD1,海淀体育中心,,125.5,20.5,R000183B5,C00034AD1,,,,
75,,,,459.0,288.0,运动场馆,080100,R000183B5,C00034AD1,,,,,,,204.0,33.0,R000183B5,C00034AD1
76,data/cut/R000183C1_C00034ADB_13.png,339.5,356.0,,,,,R000183C1,C00034ADB,东润商厦,"[('C00034ADB_172', 'R000183C1_178'), ('C00034ADB_143', 'R000183C1_100'), ('C00034ADB_99', 'R000183C1_75'), ('C00034ADA_26', 'R000183C1_103'), ('C00034ADA_54', 'R000183C1_119'), ('C00034ADB_121', 'R000183C1_94'), ('C00034ADB_111', 'R000183C1_116'), ('C00034ADB_152', 'R000183C1_188')]",84.5,101.0,R000183C1,C00034ADB,,,,
77,data/cut/R000183C1_C00034ADB_20.png,427.0,449.0,,,,,R000183C1,C00034ADB,优才教育,,172.0,194.0,R000183C1,C00034ADB,,,,
